geoid,name,B01003001,"B01003001, Error"
06000US2501769415,"Tewksbury town, Middlesex County, MA",30378,57
06000US2501770360,"Townsend town, Middlesex County, MA",9369,21
06000US2501771025,"Tyngsborough town, Middlesex County, MA",12133,42
06000US2501772215,"Wakefield town, Middlesex County, MA",26399,37
06000US2501772600,"Waltham city, Middlesex County, MA",62699,51
06000US2501773440,"Watertown Town city, Middlesex County, MA",33849,42
06000US2501773790,"Wayland town, Middlesex County, MA",13544,32
06000US2501776135,"Westford town, Middlesex County, MA",23850,26
06000US2501777255,"Weston town, Middlesex County, MA",11946,21
06000US2501780230,"Wilmington town, Middlesex County, MA",23310,38
06000US2501780510,"Winchester town, Middlesex County, MA",22491,35
06000US2501781035,"Woburn city, Middlesex County, MA",39220,23
06000US2501943790,"Nantucket town, Nantucket County, MA",10694,0
06000US2502102935,"Avon town, Norfolk County, MA",4476,22
06000US2502104930,"Bellingham town, Norfolk County, MA",16833,30
06000US2502107740,"Braintree Town city, Norfolk County, MA",37066,45
06000US2502109175,"Brookline town, Norfolk County, MA",59180,59
06000US2502111315,"Canton town, Norfolk County, MA",22562,32
06000US2502114640,"Cohasset town, Norfolk County, MA",8316,35
06000US2502116495,"Dedham town, Norfolk County, MA",25272,55
06000US2502117405,"Dover town, Norfolk County, MA",5864,27
06000US2502124820,"Foxborough town, Norfolk County, MA",17348,28
06000US2502125172,"Franklin Town city, Norfolk County, MA",32873,31
06000US2502130455,"Holbrook town, Norfolk County, MA",11008,25
06000US2502139765,"Medfield town, Norfolk County, MA",12510,21
06000US2502139975,"Medway town, Norfolk County, MA",13135,27
06000US2502141515,"Millis town, Norfolk County, MA",8110,19
06000US2502141690,"Milton town, Norfolk County, MA",27351,29
06000US2502144105,"Needham town, Norfolk County, MA",30167,67
06000US2502146050,"Norfolk town, Norfolk County, MA",11639,25
06000US2502150250,"Norwood town, Norfolk County, MA",29018,35
06000US2502154100,"Plainville town, Norfolk County, MA",8892,23
06000US2502155745,"Quincy city, Norfolk County, MA",93349,46
06000US2502155955,"Randolph town, Norfolk County, MA",33526,29
06000US2502160785,"Sharon town, Norfolk County, MA",18193,54
06000US2502167945,"Stoughton town, Norfolk County, MA",28260,33
06000US2502172495,"Walpole town, Norfolk County, MA",24913,26
06000US2502174175,"Wellesley town, Norfolk County, MA",28909,50
06000US2502178690,"Westwood town, Norfolk County, MA",15364,23
06000US2502178972,"Weymouth Town city, Norfolk County, MA",55601,28
06000US2502182315,"Wrentham town, Norfolk County, MA",11483,26
06000US2502300170,"Abington town, Plymouth County, MA",16196,37
06000US2502308085,"Bridgewater town, Plymouth County, MA",27381,42
06000US2502309000,"Brockton city, Plymouth County, MA",94813,60
06000US2502311665,"Carver town, Plymouth County, MA",11557,23
06000US2502317895,"Duxbury town, Plymouth County, MA",15444,23
06000US2502318455,"East Bridgewater town, Plymouth County, MA",14222,21
06000US2502327795,"Halifax town, Plymouth County, MA",7753,19
06000US2502328285,"Hanover town, Plymouth County, MA",14332,29
06000US2502328495,"Hanson town, Plymouth County, MA",10477,20
06000US2502330210,"Hingham town, Plymouth County, MA",22901,25
06000US2502331645,"Hull town, Plymouth County, MA",10437,22
06000US2502333220,"Kingston town, Plymouth County, MA",13106,26
06000US2502333920,"Lakeville town, Plymouth County, MA",11193,21
06000US2502338540,"Marion town, Plymouth County, MA",5014,18
06000US2502338855,"Marshfield town, Plymouth County, MA",25596,21
06000US2502339450,"Mattapoisett town, Plymouth County, MA",6216,18
06000US2502340850,"Middleborough town, Plymouth County, MA",24042,27
06000US2502350145,"Norwell town, Plymouth County, MA",10845,23
06000US2502352630,"Pembroke town, Plymouth County, MA",18166,31
06000US2502354310,"Plymouth town, Plymouth County, MA",58216,50
06000US2502354415,"Plympton town, Plymouth County, MA",2913,19
06000US2502357600,"Rochester town, Plymouth County, MA",5439,24
06000US2502357775,"Rockland town, Plymouth County, MA",17725,23
06000US2502360330,"Scituate town, Plymouth County, MA",18390,25
06000US2502372985,"Wareham town, Plymouth County, MA",22472,21
06000US2502375260,"West Bridgewater town, Plymouth County, MA",7044,31
06000US2502379530,"Whitman town, Plymouth County, MA",14767,20
06000US2502507000,"Boston city, Suffolk County, MA",658279,64
06000US2502513205,"Chelsea city, Suffolk County, MA",38244,39
06000US2502556585,"Revere city, Suffolk County, MA",53165,44
06000US2502581005,"Winthrop Town city, Suffolk County, MA",18031,26
06000US2502701885,"Ashburnham town, Worcester County, MA",6171,35
06000US2502702480,"Athol town, Worcester County, MA",11625,24
06000US2502702760,"Auburn town, Worcester County, MA",16393,31
06000US2502703740,"Barre town, Worcester County, MA",5456,20
06000US2502705490,"Berlin town, Worcester County, MA",3061,23
06000US2502706015,"Blackstone town, Worcester County, MA",9068,21
06000US2502706365,"Bolton town, Worcester County, MA",5113,35
06000US2502707525,"Boylston town, Worcester County, MA",4480,17
06000US2502709105,"Brookfield town, Worcester County, MA",3386,17
06000US2502712715,"Charlton town, Worcester County, MA",13292,32
06000US2502714395,"Clinton town, Worcester County, MA",13759,61
06000US2502717300,"Douglas town, Worcester County, MA",8665,16
06000US2502717685,"Dudley town, Worcester County, MA",11608,19
06000US2502718560,"East Brookfield town, Worcester County, MA",2259,181
06000US2502723875,"Fitchburg city, Worcester County, MA",40441,31
06000US2502725485,"Gardner city, Worcester County, MA",20334,68
